GENE,Neuron
APG5L,Neuron_D1-MSN
NR4A2,Neuron_D1-MSN
NUP153,Neuron_D1-MSN
KLHL1,Neuron_D1-MSN
MTMR1,Neuron_D1-MSN
1810033B17RIK,Neuron_D1-MSN
PRKCH,Neuron_D1-MSN
FKBPL,Neuron_D1-MSN
PUM1,Neuron_D1-MSN
9330180L10RIK,Neuron_D1-MSN
A230051G13RIK,Neuron_D1-MSN
D8ERTD82E,Neuron_D1-MSN
2310079N02RIK,Neuron_D1-MSN
PDE10A,Neuron_D1-MSN
BCL2L11,Neuron_D1-MSN
ASB8,Neuron_D1-MSN
GORASP1,Neuron_D1-MSN
9930116O05RIK,Neuron_D1-MSN
AKT2,Neuron_D1-MSN
2310035K24RIK,Neuron_D1-MSN
NOL8,Neuron_D1-MSN
ADORA2A,Neuron_D2-MSN
GPR6,Neuron_D2-MSN
PENK,Neuron_D2-MSN
GRIK3,Neuron_D2-MSN
GPR52,Neuron_D2-MSN
SP9,Neuron_D2-MSN
GNAS,Neuron_D2-MSN
PTPRM,Neuron_D2-MSN
B3GAT1,Neuron_D2-MSN
NT5E,Neuron_D2-MSN
ADK,Neuron_D2-MSN
FIG4,Neuron_D2-MSN
GUCY1A3,Neuron_D2-MSN
PLXDC1,Neuron_D2-MSN
RASD2,Neuron_D2-MSN
CKB,Neuron_D2-MSN
ARPP19,Neuron_D2-MSN
P2RY1,Neuron_D2-MSN
COCH,Neuron_D2-MSN
RASGRP2,Neuron_D2-MSN
POU3F1,Neuron_D2-MSN
UPB1,Neuron_D2-MSN
ME2,Neuron_D2-MSN
FOXP1,Neuron_D2-MSN
KCNK2,Neuron_D2-MSN
NRXN2,Neuron_D2-MSN
HIST1H2BC,Neuron_D2-MSN
ST8SIA3,Neuron_D2-MSN
NRGN,Neuron_D2-MSN
PPP1CA,Neuron_D2-MSN
RTN4,Neuron_D2-MSN
GUCY1B3,Neuron_D2-MSN
TTC12,Neuron_D2-MSN
MYO5A,Neuron_D2-MSN
CD302,Neuron_D2-MSN
ETL4,Neuron_D2-MSN
RCN1,Neuron_D2-MSN
9430020K01RIK,Neuron_D2-MSN
GNAO1,Neuron_D2-MSN
TLE4,Neuron_D2-MSN
FAM20C,Neuron_D2-MSN
KCNAB1,Neuron_D2-MSN
GNB5,Neuron_D2-MSN
SCN4B,Neuron_D2-MSN
NUCB2,Neuron_D2-MSN
FOXO1,Neuron_D2-MSN
ATP2B1,Neuron_D2-MSN
DGKB,Neuron_D2-MSN
RAD9,Neuron_D2-MSN
CHCHD7,Neuron_D2-MSN
LGI3,Neuron_D2-MSN
RGS7BP,Neuron_D2-MSN
AFF3,Neuron_D2-MSN
SLITRK6,Neuron_D2-MSN
GABRA4,Neuron_D2-MSN
NETO2,Neuron_D2-MSN
MEIS1,Neuron_D2-MSN
B3GNT2,Neuron_D2-MSN
SEZ6,Neuron_D2-MSN
HIST1H1C,Neuron_D2-MSN
GCNT2,Neuron_D2-MSN
DACH1,Neuron_D2-MSN
PDP1,Neuron_D2-MSN
HTR2C,Neuron_D2-MSN
SGCZ,Neuron_D2-MSN
KCNA4,Neuron_D2-MSN
CNTN4,Neuron_D2-MSN
PLK2,Neuron_D2-MSN
PPP2R2A,Neuron_D2-MSN
MEIS2,Neuron_D2-MSN
CORO7,Neuron_D2-MSN
D430041D05RIK,Neuron_D2-MSN
CLSPN,Neuron_D2-MSN
ANKK1,Neuron_D2-MSN
IL17RC,Neuron_D2-MSN
CACNA1E,Neuron_D2-MSN
PPP3CA,Neuron_D2-MSN
ZFHX3,Neuron_D2-MSN
LRRC10B,Neuron_D2-MSN
ABLIM2,Neuron_D2-MSN
